WISH-001 | product-detail | Wishlist toggle on product detail (heart icon)
ORD-STATUS-001 | order lifecycle | OrderStatusEnum values + transitions + admin status-change gate
PAY-STATUS-001 | order lifecycle | PaymentStatusEnum values
SHIP-STATUS-001 | order lifecycle | ShippingStatusEnum values + carrier/tracking fields
CANCEL-001 | order lifecycle | CancelStatusEnum + CancelOptionStatusEnum + CancelTypeEnum (full/partial)
REFUND-001 | order lifecycle | RefundStatusEnum (requested/approved/processing/on_hold/completed/rejected) + RefundMethodEnum (pg/bank/points) + Refund
CLAIM-001 | order lifecycle | ClaimReasonTypeEnum (refund only — exchange/return reserved) + ClaimReasonFaultTypeEnum (customer/seller/carrier)
PAY-METHOD-001 | payment | PaymentMethodEnum (card/vbank/dbank/bank/phone/point/deposit/free) + ability methods (isPgPayment, needsPgProvider, need
ORD-CREATE-001 | order lifecycle | Order creation flow (TempOrder → recalc → DB txn → hooks)
ORD-PAYMENT-001 | order lifecycle | Order payment-completion SSoT (PG callback + admin manual)
ORD-LIST-001 | order lifecycle | Admin order list — search by order_number / orderer/recipient name+phone / product_name / sku; date range by date_type; 
ORD-DETAIL-001 | order lifecycle | Admin order detail with all relations (user, options, addresses, payment, shippings, cancels, cashReceipts)
ORD-UPDATE-001 | order lifecycle | Admin order update — order_status (gate via OrderStatusEnum::canTransitionTo), admin_memo, recipient/domestic+intl addre
ORD-BULK-001 | order lifecycle | Admin bulk order status update + shipping info bulk set (carrier_id/tracking_number); PENDING_ORDER excluded from bulk s
ORD-OPT-BULK-001 | order lifecycle | Admin per-option status change with quantity split + carrier/tracking metadata
ORD-PREVIEW-001 | order lifecycle | Admin refund preview (AdjustmentResult.toPreviewArray)
ORD-DELETE-001 | order lifecycle | Admin order soft delete (explicit child deletion — no DB CASCADE)
ORD-LOGS-001 | order lifecycle | Admin order activity log (order + options + addresses)
ORD-EMAIL-001 | order lifecycle | Admin ad-hoc order email to customer (Mail::raw + subject)
ORD-CANCEL-001 | order lifecycle | Admin order cancel (full/partial) — validates cancellable_statuses, refund_priority (pg_first/points_first), refund_bank
ORD-DEPOSIT-001 | order lifecycle | Admin manual deposit confirmation (dbank only, exact-amount match, PaymentAmountMismatchException on mismatch)
ORD-GUEST-PWD-001 | order lifecycle | Admin reset guest order lookup password (hash only, no plaintext)
ORD-ADDR-001 | order lifecycle | Admin update shipping address (KR/intl side mutually exclusive; domestic is NOT NULL so intl side stored as empty string
ORD-CONFIRM-001 | order lifecycle | Purchase-confirmation (per-option). Default confirmable_statuses = [shipping, delivered]
ORD-PG-REFUND-001 | order lifecycle | PG refund hook — executePgRefund uses HookManager::applyFilters('sirsoft-ecommerce.payment.refund', $defaults, $order, $
ORD-STATS-001 | order lifecycle | Order statistics — total count, status_counts (excludes hidden PENDING_ORDER), today_count, today_revenue, monthly_reven
ORD-USER-STATS-001 | order lifecycle | Per-user order statistics — pending_payment, payment_complete, preparing (PREPARING+SHIPPING_READY aggregate), shipping,
ORD-MILEAGE-TIMING-001 | order lifecycle | Mileage deduction timing — order_placed (default for dbank) vs payment_complete (default for card). Zero-amount orders a
ORD-STOCK-TIMING-001 | order lifecycle | Stock deduction timing — order_placed (default for dbank) vs payment_complete (default for card/vbank)
ORD-INIT-STATUS-001 | order lifecycle | Initial order status rules — PAYMENT_COMPLETE if final_amount≤0 (full mileage/deposit); PENDING_PAYMENT for vbank/dbank;
ORD-SORT-001 | order lifecycle | Sortable columns — id/order_number/order_status/total_amount/total_shipping_amount/total_paid_amount/ordered_at/paid_at/
ORD-GUEST-PWD-002 | order lifecycle | Guest lookup password — hashed only (Hash::make); never serialised; per-route bcrypt verify; resettable by admin
ORD-PARTIAL-CONVERT-001 | order lifecycle | Full vs partial cancel — auto-converts to FULL when all active options covered. Partial requires active_options ≥ 2 (Ord
ORD-CANCEL-SIDE-001 | order lifecycle | Cancel side-effects — coupon restore (hook), mileage restore (only if is_mileage_deducted=true, warning-logged on failur
ORD-ROUTE-BIND-001 | order lifecycle | Route model binding — numeric {order} → id; non-numeric → order_number (unique)
ORD-CASTS-001 | order lifecycle | Order hidden fields — guest_lookup_password_hash only (model-level privacy). MC columns cast as 'array' (JSON). All amou
ORD-CANCEL-ELIGIBLE-001 | order lifecycle | Cancel eligibility — defaults [PENDING_ORDER, PENDING_PAYMENT, PAYMENT_COMPLETE]; admin may extend via cancellable_statu
ORD-STATUS-GATE-001 | order lifecycle | Order status state-machine — 9 progress statuses (pending_order → pending_payment → payment_complete → shipping_hold → p
ORD-HOOKS-001 | order lifecycle | Order lifecycle hooks — before_create/after_create/before_update/after_update/before_bulk_update/after_bulk_update/befor
ORD-NOTIFY-001 | order lifecycle | Notification definitions — orderConfirmed, orderPendingDeposit, orderShipped, orderDelivered, orderCompleted, orderCance
ORD-DELETE-POLICY-001 | order lifecycle | Order deletion policy — SoftDeletes (deleted_at). Admin must explicitly delete child relations first: taxInvoices, shipp
ORD-CASHRECEIPT-001 | order lifecycle | Cash receipt sync after cancel — only dbank cash-equivalent amount. On full cancel, cancel receipt. On partial cancel, c
CART-001 | cart | Cart line uniqueness (option + additional_option hash)
CART-002 | cart | Guest cart merge on login
CART-003 | checkout | Checkout (temp order) creation + live recalc
ADDR-001 | address | Address book CRUD with default flag
ADDR-002 | address | Save shipping address on checkout (save_shipping_address flag)
ADDR-003 | address | 주문자정보와동일 (same_as_orderer) copy behavior
SHIP-001 | shipping | Shipping charge policies (fix / free-over / range / per-unit / API)
SHIP-002 | shipping | Shipping fee calculation server-side (island/remote area)
SHIP-003 | shipping | Carriers and tracking support
ADDR-004 | address | Daum postcode plugin integration point
CART-004 | cart | Cart domain hooks/events
CHK-001 | checkout | Server-side price recalculation / tamper defense on order creation
CHK-002 | checkout | Server-side amount guard on PG callback
PAY-KGINICIS-001 | payment-pg | Plugin identifier, settings, and registration
PAY-KGINICIS-002 | payment-pg | KG이니시스 cancel/refund API method and supported payment methods
PAY-KGINICIS-003 | payment-pg | KG이니시스 hooks, listeners and action registration
PAY-NHNKCP-001 | payment-pg | NHN KCP plugin identifier, settings, supported methods, callbacks
PAY-NHNKCP-002 | payment-pg | NHN KCP cancel/refund, partial cancel logic, escrow delivery, CLI execution
PAY-NHNKCP-003 | payment-pg | NHN KCP hooks, listeners, easy-pay methods
PAY-NICE-001 | payment-pg | NicePayments plugin identifier, settings, callbacks, supported methods
PAY-NICE-002 | payment-pg | NicePayments cancel/refund and vbank completed refund flow
PAY-NICE-003 | payment-pg | NicePayments hooks, listeners, easy-pay methods
PAY-TOSS-001 | payment-pg | TossPayments plugin identifier, settings, redirect/webhook endpoints, supported methods
PAY-TOSS-002 | payment-pg | TossPayments cancel/refund API and cash receipt flow
PAY-TOSS-003 | payment-pg | TossPayments hooks, listeners, easy-pay methods
PAY-BUILTIN-DBANK-001 | payment-builtin | Builtin PaymentMethodEnum and OrderSettings SSoT for dbank, banks list, and bank_accounts
PAY-BUILTIN-METHODS-001 | payment-builtin | Builtin payment methods registry (card, vbank, dbank, bank, phone, point, deposit, free) and filter hook
PAY-REGISTRY-001 | payment-registry | Plugin enablement registry (storage/app/plugins, plugins/_pending, plugins/_bundled)
OPT-001 | Still Form (superbify-commerce_minimal) public commerce surface | Same-as-orderer checkbox (주문자 정보와 동일) — copies name/phone, blur-mirror on later edits
OPT-002 | Still Form public commerce surface | Multi-option payment methods — dynamic from payment_settings.payment_methods[] (NO hardcoding)
OPT-003 | Still Form public commerce surface | Bank account (dbank) radio selection — payload reflects genuinely selected account, no hardcode
OPT-004 | Still Form public commerce surface | Refund bank (환불 계좌) — bank code select + account + holder, all-or-none validator
OPT-005 | Still Form public commerce surface | Cash receipt (현금영수증) — dbank-only, conditional on cash_receipt_provider
OPT-006 | Still Form public commerce surface | Coupon selection — order_coupon + shipping_coupon + item_coupons (max 2 per item, full merged map)
OPT-007 | Still Form public commerce surface | Point (mileage) input — use_points recompute, 전액 사용 + 적용
OPT-008 | Still Form public commerce surface | Discount code input — 할인코드 + 적용 버튼
OPT-009 | Still Form public commerce surface | Address book pills — saved addresses (member-only) with select + recompute + 저장배송지 선택 시 save 체크박스 숨김
OPT-010 | Still Form public commerce surface | Address manage modal (배송지 관리) — partial referenced; opens via G7Core.modal.open('checkoutAddressManageModal')
OPT-011 | Still Form public commerce surface | Save address checkbox (입력한 배송지를 저장합니다) — member-only, hidden when saved-address pill selected
OPT-012 | Still Form public commerce surface | Daum postcode (다음 우편번호) — extension_point 'address_search_slot' bridges via _global.checkoutAddress
OPT-013 | Still Form public commerce surface | International shipping — country Select + intl fields (address_line_1/2, intl_city/state/postal_code)
OPT-014 | Still Form public commerce surface | Guest checkout — non-member orderer info + 비밀번호 8자 validation + auto-verify for 30-min token
OPT-015 | Still Form public commerce surface | PG dispatch — provider-agnostic via G7Core.dispatch(pg_payment_handler), no navigate fallback when PG
OPT-016 | Still Form public commerce surface | Add-to-cart quantity stepper — min/max/disabled submit, salesStatus CTA override (품절/판매중지)
OPT-017 | Still Form public commerce surface | Cart row — quantity stepper + 변경 button + delete (ConfirmDialog) + thumbnail + option name display
OPT-018 | Still Form public commerce surface | Cart summary — itemCount, subtotal, shipping (zero-suppressed), total, 결제하기 / 쇼핑 계속하기 buttons
OPT-019 | Still Form public commerce surface | Order summary in checkout — item name, option name, 수량, 추가옵션 group/name/custom_text/price_adjustment
OPT-020 | Still Form public commerce surface | Product review UI — DATA SOURCE ONLY, no review list/write component exposed in slots.content
OPT-021 | Still Form public commerce surface | Product inquiry (qna) UI — NOT EXPOSED on /shop/{slug} in Still Form (mypage/inquiries tab exists for list, no product-d
OPT-022 | Still Form public commerce surface | Mypage tabs navigation — 8 tabs: profile / orders / addresses / wishlist / coupons / mileage / inquiries / change-passwo
OPT-023 | Still Form public commerce surface | Product option selector UI (단일옵션/다중옵션) — NOT EXPOSED on /shop/{slug} in Still Form (GAP vs sirsoft-basic _product_option
OPT-024 | Still Form public commerce surface | Product additional option (추가옵션) selector UI — NOT EXPOSED on /shop/{slug} (GAP vs sirsoft-basic _product_additional_opt
OPT-025 | Still Form public commerce surface | Stock / out-of-stock display — sales_status 'sold_out' disables AddToCartPanel; no live stock_quantity display per optio
OPT-026 | Still Form public commerce surface | Unshippable items banner (has_unshippable_items) — disables 결제하기 in checkout
OPT-027 | Still Form public commerce surface | Coupon download modal — partial referenced from checkout.json (checkout-only, not product page)
OPT-028 | Still Form public commerce surface | PG error query banner (?error=confirm_failed|amount_mismatch|order_not_found) on checkout return
OPT-029 | Still Form public commerce surface | Shipping memo Select — door/security/parcel_box/call + custom textarea
OPT-030 | Still Form public commerce surface | iOS-only payment method gating — requires_ios methods filtered by appConfig.isIos
OPT-031 | Still Form public commerce surface | Order list / detail / cancel modal / payment / shipping partials (mypage orders)
OPT-032 | Still Form public commerce surface | Address book management (mypage addresses) — list + modals (add/edit/delete/overwrite)
OPT-033 | Still Form public commerce surface | Deposit name (입금자명) field — required when dbank/vbank, auto-fill from ordererName
OPT-034 | Still Form public commerce surface | Empty cart / no payment methods / no coupons guard states
OPT-035 | Still Form public commerce surface | Guest order lookup (/shop/guest/orders, /shop/guest/orders/show) — uses guest_order_form/show JSON, NOT in parity scope 
OPT-036 | Still Form public commerce surface | Reorder layout — uses CartItemResource ordering from past order
OPT-037 | Still Form public commerce surface | Orderer prefill from _global.currentUser (member) — name/phone/email auto-fill once
OPT-038 | Still Form public commerce surface | Parity regression test — 10 axes locked (same_as_orderer / save_shipping_address / saved_address pills / dbank / core_pa
